Date,HomeTeam,AwayTeam,FTR,HomeTeamCR,AwayTeamCR
2014-08-16,Arsenal,Crystal Palace,H,0,0
2014-08-16,Leicester,Everton,D,0,0
2014-08-16,Man United,Swansea,A,0,0
2014-08-16,QPR,Hull,A,0,0
2014-08-16,Stoke,Aston Villa,A,0,0
2014-08-16,West Brom,Sunderland,D,0,0
2014-08-16,West Ham,Tottenham,A,0,0
2014-08-17,Liverpool,Southampton,H,0,0
2014-08-17,Newcastle,Man City,A,0,0
2014-08-18,Burnley,Chelsea,A,0,0
2014-08-23,Aston Villa,Newcastle,D,0.0,0.02631578947368418
2014-08-23,Chelsea,Leicester,H,0.0,0.02631578947368418
2014-08-23,Crystal Palace,West Ham,A,0.0,0.02631578947368418
2014-08-23,Everton,Arsenal,D,0.0,0.02631578947368418
2014-08-23,Southampton,West Brom,D,0.0,0.02631578947368418
2014-08-23,Swansea,Burnley,H,0.0,0.02631578947368418
2014-08-24,Hull,Stoke,D,0.0,0.02631578947368418
2014-08-24,Sunderland,Man United,D,0.0,0.02631578947368418
2014-08-24,Tottenham,QPR,H,0.0,0.02631578947368418
2014-08-25,Man City,Liverpool,H,0.0,0.0
2014-08-30,Burnley,Man United,D,0.02631578947368418,0.04385964912280704
2014-08-30,Everton,Chelsea,A,0.02631578947368418,0.04385964912280704
2014-08-30,Man City,Stoke,A,0.02631578947368418,0.04385964912280704
2014-08-30,Newcastle,Crystal Palace,D,0.02631578947368418,0.04385964912280704
2014-08-30,QPR,Sunderland,H,0.02631578947368418,0.04385964912280704
2014-08-30,Swansea,West Brom,H,0.02631578947368418,0.04385964912280704
2014-08-30,West Ham,Southampton,A,0.02631578947368418,0.04385964912280704
2014-08-31,Aston Villa,Hull,H,0.0,0.02631578947368418
2014-08-31,Leicester,Arsenal,D,0.0,0.02631578947368418
2014-08-31,Tottenham,Liverpool,A,0.0,0.02631578947368418
2014-09-13,Arsenal,Man City,D,0.06140350877192979,0.06140350877192979
2014-09-13,Chelsea,Swansea,H,0.06140350877192979,0.06140350877192979
2014-09-13,Crystal Palace,Burnley,D,0.06140350877192979,0.06140350877192979
2014-09-13,Liverpool,Aston Villa,A,0.06140350877192979,0.06140350877192979
2014-09-13,Southampton,Newcastle,H,0.06140350877192979,0.06140350877192979
2014-09-13,Stoke,Leicester,A,0.06140350877192979,0.06140350877192979
2014-09-13,Sunderland,Tottenham,D,0.06140350877192979,0.06140350877192979
2014-09-13,West Brom,Everton,A,0.06140350877192979,0.06140350877192979
2014-09-14,Man United,QPR,H,0.06140350877192979,0.052631578947368474
2014-09-15,Hull,West Ham,D,0.04385964912280704,0.052631578947368474
2014-09-20,Aston Villa,Arsenal,A,0.07017543859649122,0.052631578947368474
2014-09-20,Burnley,Sunderland,D,0.07017543859649122,0.052631578947368474
2014-09-20,Newcastle,Hull,D,0.07017543859649122,0.052631578947368474
2014-09-20,QPR,Stoke,D,0.07017543859649122,0.052631578947368474
2014-09-20,Swansea,Southampton,A,0.07017543859649122,0.052631578947368474
2014-09-20,West Ham,Liverpool,H,0.07017543859649122,0.052631578947368474
2014-09-21,Everton,Crystal Palace,A,0.04385964912280704,0.08771929824561409
2014-09-21,Leicester,Man United,H,0.04385964912280704,0.08771929824561409
2014-09-21,Man City,Chelsea,D,0.04385964912280704,0.08771929824561409
2014-09-21,Tottenham,West Brom,A,0.04385964912280704,0.08771929824561409
2014-09-27,Arsenal,Tottenham,D,0.0964912280701754,0.052631578947368474
2014-09-27,Chelsea,Aston Villa,H,0.0964912280701754,0.052631578947368474
2014-09-27,Crystal Palace,Leicester,H,0.0964912280701754,0.052631578947368474
2014-09-27,Hull,Man City,A,0.0964912280701754,0.052631578947368474
2014-09-27,Liverpool,Everton,D,0.0964912280701754,0.052631578947368474
2014-09-27,Man United,West Ham,H,0.0964912280701754,0.052631578947368474
2014-09-27,Southampton,QPR,H,0.0964912280701754,0.052631578947368474
2014-09-27,Sunderland,Swansea,D,0.0964912280701754,0.052631578947368474
2014-09-28,West Brom,Burnley,H,0.08771929824561409,0.10526315789473684
2014-09-29,Stoke,Newcastle,H,0.08771929824561409,0.10526315789473684
2014-10-04,Aston Villa,Man City,A,0.07017543859649122,0.13157894736842102
2014-10-04,Hull,Crystal Palace,H,0.07017543859649122,0.13157894736842102
2014-10-04,Leicester,Burnley,D,0.07017543859649122,0.13157894736842102
2014-10-04,Liverpool,West Brom,H,0.07017543859649122,0.13157894736842102
2014-10-04,Sunderland,Stoke,H,0.07017543859649122,0.13157894736842102
2014-10-04,Swansea,Newcastle,D,0.07017543859649122,0.13157894736842102
2014-10-05,Chelsea,Arsenal,H,0.0964912280701754,0.1228070175438597
2014-10-05,Man United,Everton,H,0.0964912280701754,0.1228070175438597
2014-10-05,Tottenham,Southampton,H,0.0964912280701754,0.1228070175438597
2014-10-05,West Ham,QPR,H,0.0964912280701754,0.1228070175438597
2014-10-18,Arsenal,Hull,D,0.07017543859649122,0.11403508771929827
2014-10-18,Burnley,West Ham,A,0.07017543859649122,0.11403508771929827
2014-10-18,Crystal Palace,Chelsea,A,0.07017543859649122,0.11403508771929827
2014-10-18,Everton,Aston Villa,H,0.07017543859649122,0.11403508771929827
2014-10-18,Man City,Tottenham,H,0.07017543859649122,0.11403508771929827
2014-10-18,Newcastle,Leicester,H,0.07017543859649122,0.11403508771929827
2014-10-18,Southampton,Sunderland,H,0.07017543859649122,0.11403508771929827
2014-10-19,QPR,Liverpool,A,0.11403508771929827,0.08771929824561409
2014-10-19,Stoke,Swansea,H,0.11403508771929827,0.08771929824561409
2014-10-20,West Brom,Man United,D,0.11403508771929827,0.08771929824561409
2014-10-25,Liverpool,Hull,D,0.0964912280701754,0.06140350877192979
2014-10-25,Southampton,Stoke,H,0.0964912280701754,0.06140350877192979
2014-10-25,Sunderland,Arsenal,A,0.0964912280701754,0.06140350877192979
2014-10-25,Swansea,Leicester,H,0.0964912280701754,0.06140350877192979
2014-10-25,West Brom,Crystal Palace,D,0.0964912280701754,0.06140350877192979
2014-10-25,West Ham,Man City,H,0.0964912280701754,0.06140350877192979
2014-10-26,Burnley,Everton,A,0.11403508771929827,0.14912280701754388
2014-10-26,Man United,Chelsea,D,0.11403508771929827,0.14912280701754388
2014-10-26,Tottenham,Newcastle,A,0.11403508771929827,0.14912280701754388
2014-10-27,QPR,Aston Villa,H,0.17543859649122806,0.1228070175438597
2014-11-01,Arsenal,Burnley,H,0.14035087719298245,0.0964912280701754
2014-11-01,Chelsea,QPR,H,0.14035087719298245,0.0964912280701754
2014-11-01,Everton,Swansea,D,0.14035087719298245,0.0964912280701754
2014-11-01,Hull,Southampton,A,0.14035087719298245,0.0964912280701754
2014-11-01,Leicester,West Brom,A,0.14035087719298245,0.0964912280701754
2014-11-01,Newcastle,Liverpool,H,0.14035087719298245,0.0964912280701754
2014-11-01,Stoke,West Ham,D,0.14035087719298245,0.0964912280701754
2014-11-02,Aston Villa,Tottenham,A,0.08771929824561409,0.1228070175438597
2014-11-02,Man City,Man United,H,0.08771929824561409,0.1228070175438597
2014-11-03,Crystal Palace,Sunderland,A,0.1578947368421053,0.16666666666666663
